id_hci,faci_name,faci_own,faci_sub_own,faci_type,sp_sw,sp_eclaims,location_id,pro,province_city,if_top100,if_top460,nonpart_hf
070139,"LUZON MEDICAL CENTER, INC",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
070140,MEDICAL CENTRUM DAGUPAN,PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
070626,"NUESTRO SEÑOR SANTO NIÑO HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,COMLOGIK,IPANGASINAN,I,PANGASINAN,,,false
073730,URDANETA SACRED HEART HOSPITAL,PRIVATE,CORPORATE,L2,EUROLINK | COMLOGIK | KAISER,KAISER,IPANGASINAN,I,PANGASINAN,,,false
073928,"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
073931,"DEL CARMEN MEDICAL CLINIC & HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
040226,METRO VIGAN HOSPITAL,PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IILOCOS SUR,I,ILOCOS SUR,,Priority,false
074028,PANGASINAN DOCTORS HOSPITAL,PRIVATE,CORPORATE,L2,EUROLINK | COMLOGIK,COMLOGIK,IPANGASINAN,I,PANGASINAN,,,false
070926,"ALAMINOS DOCTORS HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK | BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
070927,"C AND H MEDICAL AND SURGICAL CLINIC, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
041333,RESONABLE HOSPITAL,PRIVATE,CORPORATE,L1,EUROLINK,EUROLINK,IILOCOS SUR,I,ILOCOS SUR,,,false
031727,"THE BLACK NAZARENE HOSPITAL, INC.",PRIVATE,CORPORATE,L2,EUROLINK | BIZBOX,BIZBOX,IILOCOS NORTE,I,ILOCOS NORTE,,,false
070231,JESUS NAZARENE GENERAL HOSPITAL,PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
073326,"NORTHERN LUZON ADVENTIST HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK,EUROLINK,IPANGASINAN,I,PANGASINAN,,,false
Z00165,"MBP-BLESSED TRINITY GENERAL HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
Z03678,STO. CRISTO MILAGROSO HOSPITAL,PRIVATE,CORPORATE,L1,BIZBOX | EUROLINK,EUROLINK,IILOCOS SUR,I,ILOCOS SUR,,,false
Z04672,NORTHSIDE DOCTORS HOSPITAL,PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IILOCOS SUR,I,ILOCOS SUR,,Priority,false
Z06184,"KARMELLI CLINIC & HOSPITAL PINILI, INC.",PRIVATE,CORPORATE,INF,BIZBOX,BIZBOX,IILOCOS NORTE,I,ILOCOS NORTE,,,false
Z07008,"JESUS' HEALING HANDS INFIRMARY, INC.",PRIVATE,CORPORATE,INF,COMLOGIK,COMLOGIK,IPANGASINAN,I,PANGASINAN,,,false
Z07297,ROSALES CHUA PUN MEMORIAL HOSPITAL INC.,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
Z12561,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - PANGASINAN, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
110127,DR. DOMINGO S. DE LEON GENERAL HOSPITAL,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IICAGAYAN,II,CAGAYAN,,,false
110130,HOLY INFANT HOSPITAL OF TUGUEGARAO INC.,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IICAGAYAN,II,CAGAYAN,,,false
110131,"ST. PAUL HOSPITAL OF TUGUEGARAO, INC.",PRIVATE,CORPORATE,L2,TUO | PHIC,TUO,IICAGAYAN,II,CAGAYAN,,Priority,false
111832,LYCEUM OF APARRI HOSPITAL,PRIVATE,CORPORATE,L1,BIZBOX | PHIC,BIZBOX,IICAGAYAN,II,CAGAYAN,,,false
130132,ISABELA DOCTORS GENERAL HOSPITAL INC.,PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK | BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,,false
131332,GOD'S WILL MEDICAL HOSPITAL,PRIVATE,CORPORATE,L1,BIZBOX | PHIC,BIZBOX,IIISABELA,II,ISABELA,,,false
131333,"DR. ESTER R. GARCIA MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,,false
131929,LUCAS-PAGUILA MEDICAL HOSPITAL INCORPORATED,PRIVATE,CORPORATE,L1,BIZBOX | PHIC,BIZBOX,IIISABELA,II,ISABELA,,,false
132226,"ADVENTIST HOSPITAL-SANTIAGO CITY, INC.",PRIVATE,CORPORATE,L2,EUROLINK | BIZBOX | PHIC,BIZBOX,IIISABELA,II,ISABELA,,,false
132228,FLORES MEMORIAL MEDICAL CENTER,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,,false
132232,"DE VERA MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,,false
132233,"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L2,BIZBOX | PHIC,BIZBOX,IIISABELA,II,ISABELA,,,false
132427,"CABATUAN FAMILY HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,,false
132526,"JAVONILLO HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX | PHIC,BIZBOX,IIISABELA,II,ISABELA,,,false
132728,"SOLLER GENERAL HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,COMLOGIK,IIISABELA,II,ISABELA,,,false
111830,"CHARLES W. SELBY MEMORIAL HOSPITAL, INC.",PRIVATE,CORPORATE,L1,COMLOGIK | BIZBOX | PHIC,BIZBOX,IICAGAYAN,II,CAGAYAN,,,false
112526,"FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL, INC.",PRIVATE,CORPORATE,L1,COMLOGIK | PHIC,COMLOGIK,IICAGAYAN,II,CAGAYAN,,,false
110134,"DR. RONALD P. GUZMAN MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IICAGAYAN,II,CAGAYAN,,,false
LX0117,"ISABELA UNITED DOCTORS MEDICAL CENTER, INC. ",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,Priority,false
Z00017,A.M. YUMENA GENERAL HOSPITAL INC.,PRIVATE,CORPORATE,L1,BIZBOX | PHIC,BIZBOX,IIISABELA,II,ISABELA,,,false
LX0134,SEVILLEJA MEDICAL CLINIC INC.,PRIVATE,CORPORATE,INF,BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,,false
Z04981,ISABELA SOUTH SPECIALISTS HOSPITAL INC.,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,Priority,false
Z04982,"DIVINE MERCY WELLNESS CENTER, INC.",PRIVATE,CORPORATE,L2,EUROLINK | BIZBOX | PHIC,BIZBOX,IICAGAYAN,II,CAGAYAN,,Priority,false
Z05746,SAN MATEO MULTICARE HOSPITAL INC.,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,,false
Z06347,GRUPO MEDICO DE DIOS INC.,PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IICAGAYAN,II,CAGAYAN,,,false
Z06377,APAYAO CAGAYAN MEDICAL CENTER INC.,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IICAGAYAN,II,CAGAYAN,,,false
Z06664,"SALUBRIS, INC.",PRIVATE,CORPORATE,L2,BIZBOX | PHIC,BIZBOX,IINUEVA VIZCAYA,II,NUEVA VIZCAYA,,,false
Z06750,SANTIAGO MEDICAL CITY,PRIVATE,CORPORATE,L2,COMLOGIK | PHIC,COMLOGIK,IIISABELA,II,ISABELA,,Priority,false
Z09419,"CAGAYAN UNITED DOCTORS MEDICAL CENTER OF TUGUEGARAO CITY, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IICAGAYAN,II,CAGAYAN,,,false
Z13379,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-TUGUEGARAO, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IICAGAYAN,II,CAGAYAN,,,true
Z13494,ST. MATTHIAS MEDICAL CENTER OF ISABELA INC.,PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIISABELA,II,ISABELA,,,true
190127,BATAAN ST. JOSEPH HOSPITAL & MEDICAL CENTER CORP.,PRIVATE,CORPORATE,L2,EUROLINK,EUROLINK,IIIABATAAN,IIIA,BATAAN,,,false
190129,"BATAAN DOCTORS HOSPITAL AND MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L2,EUROLINK | BIZBOX,BIZBOX,IIIABATAAN,IIIA,BATAAN,,,false
190130,ISAAC & CATALINA MEDICAL CENTER,PRIVATE,CORPORATE,L1,COMLOGIK,COMLOGIK,IIIABATAAN,IIIA,BATAAN,,,false
200130,PAMPANGA EENT CORPORATION,PRIVATE,CORPORATE,INF,BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
200132,"V.L. MAKABALI MEMORIAL HOSPITAL, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,Priority,false
200135,"SAN FERNANDINO HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
200926,OUR LADY OF ROSARY HOSPITAL,PRIVATE,CORPORATE,L1,MEDILINK,MEDILINK,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
201627,"LEONARDO B. MANABAT SR. HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX | COMLOGIK,COMLOGIK,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
201726,"ANGELES MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L2,EUROLINK | COMLOGIK,COMLOGIK,IIIAPAMPANGA,IIIA,PAMPANGA,,Priority,false
201733,"DR. AMANDO L. GARCIA MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L2,EUROLINK | COMLOGIK | BIZBOX,COMLOGIK,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
201745,"THE MEDICAL CITY CLARK, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
201747,"ANGELES UNIVERSITY FOUNDATION MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L3,KAISER,KAISER,IIIAPAMPANGA,IIIA,PAMPANGA,,Priority,false
201749,ST. CATHERINE OF ALEXANDRIA FOUNDATION & MEDICAL CENTER INC.,PRIVATE,CORPORATE,L2,EUROLINK,EUROLINK,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
202032,ROSARIO MEDICAL CENTER OF GUAGUA INC.,PRIVATE,CORPORATE,L1,EUROLINK | MEDILINK,MEDILINK,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
202428,"TIGLAO MEDICAL CENTER FOUNDATION, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
210127,"CENTRAL LUZON DOCTORS' HOSPITAL, INC",PRIVATE,CORPORATE,L3,BIZBOX,BIZBOX,IIIATARLAC,IIIA,TARLAC,,Priority,false
210128,RAMOS GENERAL HOSPITAL,PRIVATE,CORPORATE,L2,EUROLINK | COMLOGIK,COMLOGIK,IIIATARLAC,IIIA,TARLAC,,Priority,false
210132,TALON GENERAL HOSPITAL,PRIVATE,CORPORATE,L2,EUROLINK | TUO | COMLOGIK,TUO,IIIATARLAC,IIIA,TARLAC,,,false
210827,"DR. EUTIQUIO LL. ATANACIO JR. MEMORIAL HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX | EUROLINK,BIZBOX,IIIATARLAC,IIIA,TARLAC,,,false
210932,"RAYOS-VALENTIN HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,COMLOGIK,IIIATARLAC,IIIA,TARLAC,,,false
211126,"SEÑOR STO. NIÑO HOSPITAL, INC.",PRIVATE,CORPORATE,L2,EUROLINK | COMLOGIK,COMLOGIK,IIIATARLAC,IIIA,TARLAC,,,false
220132,RIDON'S ST. JUDE MEDICAL CENTER CORPORATION,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIAZAMBALES,IIIA,ZAMBALES,,,false
230127,"NUEVA ECIJA DOCTORS' HOSPITAL, INC.",PRIVATE,CORPORATE,L2,COMLOGIK,COMLOGIK,IIIBNUEVA ECIJA,IIIB,NUEVA ECIJA,,Priority,false
230129,"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. ",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIIBNUEVA ECIJA,IIIB,NUEVA ECIJA,,Priority,false
230130,PREMIERE MEDICAL CENTER - NUEVA ECIJA,PRIVATE,CORPORATE,L3,COMLOGIK,COMLOGIK,IIIBNUEVA ECIJA,IIIB,NUEVA ECIJA,,Priority,false
230726,"GUIMBA GENERAL HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBNUEVA ECIJA,IIIB,NUEVA ECIJA,,,false
233126,HEART OF JESUS HOSPITAL,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBNUEVA ECIJA,IIIB,NUEVA ECIJA,,,false
260127,"SACRED HEART HOSPITAL OF MALOLOS, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,Priority,false
260134,"SANTOS GENERAL HOSPITAL MALOLOS, INC.",PRIVATE,CORPORATE,L1,EUROLINK | BIZBOX,EUROLINK,IIIBBULACAN,IIIB,BULACAN,,,false
260136,"MALOLOS MATERNITY HOSPITAL AND EYE CENTER, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
260138,MARY IMMACULATE MATERNITY & GENERAL HOSPITAL INC.,PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,COMLOGIK,IIIBBULACAN,IIIB,BULACAN,,,false
260529,UNITED BALAGTAS DOCTORS HOSPITAL CORPORATION ,PRIVATE,CORPORATE,L1,EUROLINK,EUROLINK,IIIBBULACAN,IIIB,BULACAN,,,false
260629,MARCELO HOSPITAL OF BALIWAG INC.,PRIVATE,CORPORATE,L1,MEDILINK,MEDILINK,IIIBBULACAN,IIIB,BULACAN,,,false
260636,"CASTRO MATERNITY HOSPITAL & MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L1,MEDILINK,MEDILINK,IIIBBULACAN,IIIB,BULACAN,,,false
260726,"DR. YANGA'S HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,COMLOGIK,IIIBBULACAN,IIIB,BULACAN,,,false
260727,"ST. PAUL HOSPITAL BULACAN, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
260729,MT. CARMEL MEDICAL CENTER OF BULACAN INC.,PRIVATE,CORPORATE,L1,MEDILINK | BIZBOX,MEDILINK,IIIBBULACAN,IIIB,BULACAN,,,false
260927,SNH BUSTOS CORPORATION,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
261026,"STA. CRUZ MULTISPECIALTY HOSPITAL, INC",PRIVATE,CORPORATE,L1,EUROLINK,EUROLINK,IIIBBULACAN,IIIB,BULACAN,,,false
261228,"MARILAO SAINT MICHAEL FAMILY HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
261701,LA CONSOLACION UNIVERSITY GENERAL HOSPITAL,PRIVATE,CORPORATE,L2,EUROLINK | COMLOGIK,EUROLINK,IIIBBULACAN,IIIB,BULACAN,,,false
261728,REINA DEL CIELO MATERNITY AND GENERAL HOSPITAL,PRIVATE,CORPORATE,INF,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
261730,MARCELO-PADILLA CHILDREN'S AND MEDICAL HOSPITAL CORPORATION,PRIVATE,CORPORATE,L2,MEDILINK | BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
261926,DR. MAGDALENA S. REYES MEMORIAL HOSPITAL,PRIVATE,CORPORATE,L1,MEDILINK,MEDILINK,IIIBBULACAN,IIIB,BULACAN,,,false
262226,EMMANUEL HOSPITAL,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
262627,"ST. MARY'S MEDICAL SERVICES, INC.",PRIVATE,CORPORATE,INF,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
262628,"MENDOZA GENERAL HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,COMLOGIK,IIIBBULACAN,IIIB,BULACAN,,,false
262629,"MATEO'S DIAGNOSTIC CLINIC & GENERAL HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
261928,"OUR LADY OF MERCY GENERAL HOSPITAL, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
261127,"GUIGUINTO POLYMEDIC HOSPITAL, INC. (FORMERLY BULACAN POLYMEDIC HOSPITAL, INC.)",PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,EUROLINK,IIIBBULACAN,IIIB,BULACAN,,,false
200136,"OUR LADY OF MT. CARMEL MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L3,BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,Priority,false
260637,RUGAY GENERAL HOSPITAL INC.,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
232227,"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (EXT.)",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIIBNUEVA ECIJA,IIIB,NUEVA ECIJA,,,false
210829,"IMMACULATE CONCEPCION POLYCLINIC & HOSPITAL, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIATARLAC,IIIA,TARLAC,,,false
200826,"ST. JOSEPH HOSPITAL OF REMEDIOS, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
210129,JECSONS MEDICAL CENTER,PRIVATE,CORPORATE,L2,COMLOGIK,COMLOGIK,IIIATARLAC,IIIA,TARLAC,,Priority,false
232332,"CABIAO GENERAL HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK,EUROLINK,IIIBNUEVA ECIJA,IIIB,NUEVA ECIJA,,,false
211728,HOLY TRINITY HOSPITAL OF TARLAC CITY INC.,PRIVATE,CORPORATE,INF,EUROLINK | COMLOGIK,COMLOGIK,IIIATARLAC,IIIA,TARLAC,,,false
202329,APALIT DOCTOR'S HOSPITAL INC.,PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,COMLOGIK,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
191126,ORION ST. MICHAEL HOSPITAL INC.,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIABATAAN,IIIA,BATAAN,,,false
261335,"MEYCAUAYAN DOCTORS HOSPITAL AND MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L2,EUROLINK,EUROLINK,IIIBBULACAN,IIIB,BULACAN,,,false
200137,MOTHER TERESA OF CALCUTTA MEDICAL CENTER,PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,Priority,false
200026,"PAMPANGA MEDICAL SPECIALIST HOSPITAL, INC.",PRIVATE,CORPORATE,L2,MEDILINK | KAISER,MEDSYS,IIIAPAMPANGA,IIIA,PAMPANGA,,Priority,false
261129,"MAGPOC MATERNITY HOSPITAL, INC.",PRIVATE,CORPORATE,INF,MEDILINK,MEDILINK,IIIBBULACAN,IIIB,BULACAN,,,false
230131,"IMMACULATE CONCEPTION MEDICAL CENTER OF CENTRAL LUZON, INC.",PRIVATE,CORPORATE,L2,EUROLINK | STASH PH | BIZBOX,BIZBOX,IIIBNUEVA ECIJA,IIIB,NUEVA ECIJA,,Priority,false
230132,WESLEYAN UNIVERSITY - PHILIPPINES,PRIVATE,CORPORATE,L2,GTI SOFTWARE | STASH PH | BIZBOX,BIZBOX,IIIBNUEVA ECIJA,IIIB,NUEVA ECIJA,,,false
360126,"PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA, BALER, AURORA, INC.",PRIVATE,CORPORATE,L2,COMLOGIK,COMLOGIK,IIIBAURORA,IIIB,AURORA,,,false
201752,AC SACRED HEART MEDICAL CENTER,PRIVATE,CORPORATE,L2,KAISER | BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,Priority,false
190728,BATAAN PENINSULA MEDICAL CENTER,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIABATAAN,IIIA,BATAAN,,,false
211127,SALVADOR GENERAL HOSPITAL,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIATARLAC,IIIA,TARLAC,,,false
261336,THE LORD'S HOSPITAL,PRIVATE,CORPORATE,L1,EUROLINK | BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
201753,"OUR LADY OF MT. CARMEL MEDICAL CENTER-CLARK, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
262027,R. DE C. GALVEZ MEDICAL CENTER INC.,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,Priority,false
220144,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIIAZAMBALES,IIIA,ZAMBALES,,,false
LX0032,DR. PERALTA HOSPITAL CO.,PRIVATE,CORPORATE,L1,MEDILINK,MEDILINK,IIIBBULACAN,IIIB,BULACAN,,,false
LX0071,"GRACE GENERAL HOSPITAL, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,,false
LX0063,GRAMAN MEDICAL & MATERNITY HOSPITAL INC.,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IIIBBULACAN,IIIB,BULACAN,,Priority,false
Z00331,"MARYMOUNT HOSPITAL, INC.",PRIVATE,CORPORATE,L1,MEDILINK,MEDILINK,IIIBBULACAN,IIIB,BULACAN,,,false
